filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,0,"{""name"":""point"",""cx"":1542,""cy"":1855}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,1,"{""name"":""point"",""cx"":1571,""cy"":1866}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,2,"{""name"":""point"",""cx"":1596,""cy"":1866}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,3,"{""name"":""point"",""cx"":1625,""cy"":1863}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,4,"{""name"":""point"",""cx"":1649,""cy"":1858}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,5,"{""name"":""point"",""cx"":1547,""cy"":1886}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,6,"{""name"":""point"",""cx"":1574,""cy"":1887}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,7,"{""name"":""point"",""cx"":1596,""cy"":1889}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,8,"{""name"":""point"",""cx"":1621,""cy"":1889}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,9,"{""name"":""point"",""cx"":1644,""cy"":1883}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,10,"{""name"":""point"",""cx"":1779,""cy"":1867}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,11,"{""name"":""point"",""cx"":1807,""cy"":1875}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,12,"{""name"":""point"",""cx"":1830,""cy"":1875}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,13,"{""name"":""point"",""cx"":1853,""cy"":1875}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,14,"{""name"":""point"",""cx"":1873,""cy"":1870}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,15,"{""name"":""point"",""cx"":1778,""cy"":1897}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,16,"{""name"":""point"",""cx"":1808,""cy"":1903}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,17,"{""name"":""point"",""cx"":1836,""cy"":1903}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,18,"{""name"":""point"",""cx"":1863,""cy"":1898}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,19,"{""name"":""point"",""cx"":1886,""cy"":1886}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,20,"{""name"":""point"",""cx"":2719,""cy"":1554}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,21,"{""name"":""point"",""cx"":2737,""cy"":1536}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,22,"{""name"":""point"",""cx"":2763,""cy"":1529}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,23,"{""name"":""point"",""cx"":2782,""cy"":1526}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,24,"{""name"":""point"",""cx"":2802,""cy"":1529}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,25,"{""name"":""point"",""cx"":2739,""cy"":1573}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,26,"{""name"":""point"",""cx"":2767,""cy"":1563}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,27,"{""name"":""point"",""cx"":2783,""cy"":1557}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,28,"{""name"":""point"",""cx"":2802,""cy"":1550}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,29,"{""name"":""point"",""cx"":2817,""cy"":1534}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,30,"{""name"":""point"",""cx"":2873,""cy"":1494}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,31,"{""name"":""point"",""cx"":2901,""cy"":1486}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,32,"{""name"":""point"",""cx"":2929,""cy"":1483}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,33,"{""name"":""point"",""cx"":2959,""cy"":1483}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,34,"{""name"":""point"",""cx"":2894,""cy"":1522}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,35,"{""name"":""point"",""cx"":2919,""cy"":1522}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,36,"{""name"":""point"",""cx"":2939,""cy"":1515}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,37,"{""name"":""point"",""cx"":2956,""cy"":1510}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,38,"{""name"":""point"",""cx"":2970,""cy"":1503}","{}"
Rear_5m_Good_lighting_male_closed_5.jpg,2188740,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,39,"{""name"":""point"",""cx"":2866,""cy"":1502}","{}"
Rear_5m_Good_lighting_male_closed_6.jpg,2347323,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,0,"{""name"":""point"",""cx"":1546,""cy"":1860}","{}"
Rear_5m_Good_lighting_male_closed_6.jpg,2347323,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,1,"{""name"":""point"",""cx"":1573,""cy"":1863}","{}"
Rear_5m_Good_lighting_male_closed_6.jpg,2347323,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,2,"{""name"":""point"",""cx"":1592,""cy"":1867}","{}"
Rear_5m_Good_lighting_male_closed_6.jpg,2347323,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,3,"{""name"":""point"",""cx"":1619,""cy"":1867}","{}"
Rear_5m_Good_lighting_male_closed_6.jpg,2347323,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,4,"{""name"":""point"",""cx"":1651,""cy"":1861}","{}"
Rear_5m_Good_lighting_male_closed_6.jpg,2347323,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,5,"{""name"":""point"",""cx"":1540,""cy"":1885}","{}"
Rear_5m_Good_lighting_male_closed_6.jpg,2347323,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,6,"{""name"":""point"",""cx"":1568,""cy"":1891}","{}"
Rear_5m_Good_lighting_male_closed_6.jpg,2347323,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,7,"{""name"":""point"",""cx"":1598,""cy"":1891}","{}"
Rear_5m_Good_lighting_male_closed_6.jpg,2347323,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,8,"{""name"":""point"",""cx"":1627,""cy"":1891}","{}"
Rear_5m_Good_lighting_male_closed_6.jpg,2347323,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,9,"{""name"":""point"",""cx"":1657,""cy"":1884}","{}"
Rear_5m_Good_lighting_male_closed_6.jpg,2347323,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,10,"{""name"":""point"",""cx"":1791,""cy"":1867}","{}"
Rear_5m_Good_lighting_male_closed_6.jpg,2347323,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,11,"{""name"":""point"",""cx"":1816,""cy"":1878}","{}"
Rear_5m_Good_lighting_male_closed_6.jpg,2347323,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,12,"{""name"":""point"",""cx"":1851,""cy"":1878}","{}"
Rear_5m_Good_lighting_male_closed_6.jpg,2347323,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,13,"{""name"":""point"",""cx"":1876,""cy"":1870}","{}"
Rear_5m_Good_lighting_male_closed_6.jpg,2347323,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,14,"{""name"":""point"",""cx"":1893,""cy"":1854}","{}"
Rear_5m_Good_lighting_male_closed_6.jpg,2347323,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",40,15,"{""name"":""point"",""cx"":1783,""cy"":1897}","{}"
